opinion_leaf_label,n_rows,mean_baseline,mean_post,mean_signed_delta,mean_abs_delta,sd_abs_delta,mean_adv_eff,sd_adv_eff
Nuclear_Deterrence_Support,100,-45.37,-39.74,5.63,38.15,20.852517833585473,-5.63,43.11093944696636
Asylum_Process_Expansion_Support,100,-23.4,-27.48,-4.08,35.64,19.55889567434726,4.08,40.448901097557645
Foreign_Information_Manipulation_Transparency_Mandate_Support,100,-86.2,-84.07,2.13,34.71,20.842886076548993,-2.13,40.431090759463814
Family_Reunification_Support,100,30.18,35.12,4.94,34.22,20.357101954846126,-4.94,39.50970007479176
Humanitarian_Intervention_Support,100,49.07,48.17,-0.9,34.14,21.935368699887395,0.9,40.56956987694102
Multiculturalism_Support,100,-35.02,-39.71,-4.69,33.71,22.146916263895527,4.69,40.06062780336824
Critical_Infrastructure_Hardening_Support,100,31.92,31.6,-0.32,33.7,18.195878654244762,0.32,38.29722705366538
Sanctions_Use_Support,100,56.88,57.49,0.61,33.65,20.124301230104862,-0.61,39.20379956075687
Alliance_Commitment_Support,100,-53.24,-51.29,1.95,32.21,20.171412940099163,-1.95,37.95480865450385
Trust_In_Mainstream_Journalism,100,15.17,8.89,-6.28,32.14,19.374736127235387,6.28,36.99894052537181
