Parameter,Value
Run identifier,run_5
Paper title,PILOT: Inter-individual Differences in Susceptibility to Cyber-manipulation: A Multi-agent Simulation Approach with High-dimension State Space of Political Opinions
Analysis mode,treated_only
Scenarios,20
Attack ratio,1.0
Attack leaf,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing
Focus opinion domain,Defense_and_National_Security
Opinion leaves sampled,4
OpenRouter model,mistralai/mistral-small-3.2-24b-instruct
Primary moderator,profile_cont_susceptibility_index
Bootstrap samples,800
