section,item,status,detail
Assumption register,Pilot sample size is sufficient for stable moderation estimates.,risk,Treat estimates as exploratory and scale scenario count in later runs.
Assumption register,Attack-only design is intentional and aligned with the moderation question.,ok,"Interpret results as moderation among attacked individuals, not as a no-attack counterfactual contrast."
Assumption register,Opinion measurement has enough numeric resolution.,ok,"Prompt enforces high-resolution scores in [-1000,1000]."
Assumption register,Attack text realism is adequate.,ok,Self-supervised realism reviewer + rewrite loop in Stage 03.
Assumption register,SEM converges with acceptable fit.,ok,"Use robust OLS supplement, reduce heterogeneity, and increase scenario count before substantive interpretation."
Assumption register,LLM outputs are reproducible and auditable.,ok,Persist all prompts/outputs in provenance/raw_llm.
Peer-review critique,Synthetic LLM agents may not represent human cognition or causal response behavior.,addressed,Added transparent assumption register and explicit exploratory caveat in reports.
Peer-review critique,Adversarial content may be unrealistic or too generic.,addressed,Added realism review agent with rewrite loop and heuristic checks.
Peer-review critique,Model dependence on a single LLM could bias outputs.,addressed,Model is CLI-configurable and run metadata captures exact model for replication.
Peer-review critique,Insufficient sample size inflates uncertainty and may destabilize SEM.,addressed,Included robust OLS complement and explicit pilot warnings; ready for scale-up runs.
Peer-review critique,Attack-only designs cannot estimate the incremental effect of exposure relative to a no-attack counterfactual.,addressed,The report now states explicitly that run_5 estimates heterogeneity of post-minus-baseline response among attacked individuals only.
