profile_id,mean_baseline_score,mean_post_score,mean_signed_delta_score,mean_abs_delta_score,mean_baseline_abs_score,mean_exposure_quality_score,mean_attack_realism_score,mean_attack_coherence_score,mean_post_plausibility_score,mean_post_consistency_score,n_attacked_opinion_leaves,mean_adversarial_effectivity,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,abs_delta_indicator__alliance_commitment_support,abs_delta_indicator__civil_defense_preparedness_support,abs_delta_indicator__domestic_security_powers_expansion_support,abs_delta_indicator__strategic_autonomy_support,signed_delta_indicator__alliance_commitment_support,signed_delta_indicator__civil_defense_preparedness_support,signed_delta_indicator__domestic_security_powers_expansion_support,signed_delta_indicator__strategic_autonomy_support,adversarial_delta_indicator__alliance_commitment_support,adversarial_delta_indicator__civil_defense_preparedness_support,adversarial_delta_indicator__domestic_security_powers_expansion_support,adversarial_delta_indicator__strategic_autonomy_support,mean_baseline_abs_score_z,mean_exposure_quality_score_z,mean_abs_delta_score_z,mean_signed_delta_score_z,mean_adversarial_effectivity_z,abs_delta_indicator__alliance_commitment_support_z,abs_delta_indicator__civil_defense_preparedness_support_z,abs_delta_indicator__domestic_security_powers_expansion_support_z,abs_delta_indicator__strategic_autonomy_support_z,adversarial_delta_indicator__alliance_commitment_support_z,adversarial_delta_indicator__civil_defense_preparedness_support_z,adversarial_delta_indicator__domestic_security_powers_expansion_support_z,adversarial_delta_indicator__strategic_autonomy_support_z,profile_cont_age_years_z,profile_cont_big_five_neuroticism_mean_pct_z,profile_cont_big_five_openness_to_experience_mean_pct_z,profile_cont_big_five_conscientiousness_mean_pct_z,profile_cont_big_five_extraversion_mean_pct_z,profile_cont_big_five_agreeableness_mean_pct_z
profile_0003,325.25,354.75,29.5,48.0,325.25,0.7091666666666667,0.7,0.8,0.625,0.675,4,-14.5,20.0,12.344,6.905,24.863,11.916,49.433,20.944,21.068,86.844,90.056,93.719,91.405,95.637,78.609,89.378,52.05,50.891,54.202,69.196,56.425,49.741,55.417,51.045,75.017,67.394,68.177,59.242,63.194,64.012,55.923,58.731,32.053,42.683,51.172,61.531,50.349,0.5143,0.4857,0.0,1.0,0.0,37.0,53.0,72.0,30.0,-37.0,53.0,72.0,30.0,37.0,-53.0,-72.0,30.0,-0.362642136451013,-0.332728017728991,0.5085463222252562,0.3351745331638337,-0.373604524359263,-0.1287788142156415,0.3452412021090176,1.451166513851447,-0.8581586548850609,0.7904244706125783,-0.6694082007547167,-1.451166513851447,0.0319797572029632,-1.3754012612581454,0.5843225675217099,0.06458845337422557,1.4526000011117892,0.2208244415128599,-1.0683275064703093
profile_0010,438.0,485.25,47.25,47.25,438.0,0.7233333333333334,0.725,0.8250000000000001,0.8,0.8,4,-20.75,74.0,69.422,40.572,69.536,52.126,56.363,70.627,59.774,65.176,40.013,44.8,37.463,51.718,58.454,49.604,40.753,46.485,47.162,49.643,58.176,42.546,47.461,22.293,19.461,22.064,34.899,8.619,30.192,22.921,31.51,33.968,54.853,36.977,49.487,21.703,38.083,0.3061,0.6939,0.0,0.0,1.0,36.0,37.0,63.0,53.0,36.0,37.0,63.0,53.0,-36.0,-37.0,-63.0,53.0,0.4105052755722775,0.3933793380338894,0.4264344295085841,1.2318358690580384,-0.7598788464842249,-0.1948192317621243,-0.5894219508087971,0.9935456790699814,0.5597759041922666,-0.965005597982439,-0.3086627911193019,-0.9935456790699814,0.655314007769197,2.011359710376139,-1.0374395258901388,-0.39746798491356866,-0.10139323333079367,-0.07388670773434448,0.47162281616683777
profile_0017,153.25,181.0,27.75,41.25,153.25,0.7066666666666667,0.7,0.8,0.725,0.675,4,8.75,26.0,33.78,13.685,16.541,9.038,8.282,0.69,13.669,30.409,9.972,20.462,9.306,33.539,15.817,19.917,16.711,32.113,17.78,20.791,19.815,26.586,22.299,43.189,47.465,40.9,44.057,44.701,52.604,45.486,36.52,42.459,47.377,47.851,30.622,28.303,38.855,0.601,0.399,0.0,0.0,1.0,27.0,13.0,52.0,73.0,-27.0,13.0,52.0,73.0,27.0,-13.0,-52.0,73.0,-1.542077656344636,-0.4608646099224435,-0.2304607122247927,0.2467713028644051,1.0633359539455949,-0.7891829896804691,-1.991416680185519,0.4342313254481904,1.7927624773029862,0.549954598202302,0.2324553233338204,-0.4342313254481904,1.1973437908702698,-0.9990944866321139,-0.14685371299100364,-0.3683869829277398,-1.2612815309849637,-1.005953316250955,-1.3627028600897033
profile_0023,354.0,371.25,17.25,52.25,354.0,0.6925,0.7,0.75,0.8,0.825,4,3.75,26.0,53.913,65.765,62.84,72.981,62.118,64.533,63.692,46.606,36.623,37.615,57.371,49.336,42.339,44.982,15.417,23.616,6.65,21.2,2.727,7.711,12.887,53.198,42.945,42.348,38.692,61.117,42.496,46.799,84.157,79.021,85.16,80.995,67.979,88.93,81.041,0.5021,0.4979,1.0,0.0,0.0,70.0,60.0,37.0,42.0,-70.0,60.0,37.0,42.0,70.0,-60.0,-37.0,42.0,-0.1654981178641429,-1.186971965685324,0.9738470476197316,-0.2836480789321666,0.7543164962456255,2.0505549648182892,0.7541563315105616,-0.3284700658542518,-0.1183667110186292,1.5839750495664904,-0.8272343174702107,0.3284700658542518,0.3571976270636069,-0.9990944866321139,-0.09503278800378596,1.2207466307693815,-0.2819774524084227,-1.3545985320270595,0.6275036967562125
profile_0026,317.25,318.0,0.75,42.25,317.25,0.74,0.75,0.8500000000000001,0.6000000000000001,0.625,4,-22.25,56.0,76.049,100.0,87.71,90.188,96.257,70.19,86.732,70.887,56.379,58.7,79.24,50.49,76.633,65.388,52.388,48.037,68.532,68.618,56.221,47.921,56.953,74.63,47.013,85.113,72.845,67.746,77.892,70.873,39.987,26.807,4.199,4.071,24.66,17.561,19.547,0.5459,0.4541,1.0,0.0,0.0,40.0,60.0,26.0,43.0,-40.0,60.0,26.0,-43.0,40.0,-60.0,-26.0,-43.0,-0.4174996024925768,1.2476232859902168,-0.1209781886025632,-1.1171642503267794,-0.8525846837942157,0.0693424384238067,0.7541563315105616,-0.8877844194760428,-0.0567173823630932,0.8625654323356612,-0.8272343174702107,0.8877844194760428,-1.946428951115952,0.8824393864980441,0.8551095944351143,-1.095713390106994,0.5152967956439571,0.2777219182906008,1.544169212013792
profile_0036,184.25,202.5,18.25,53.25,184.25,0.7066666666666667,0.7,0.8,0.475,0.45,4,6.75,21.0,85.79,75.422,86.306,88.3,70.652,68.319,79.131,42.575,44.604,42.072,40.895,42.587,32.365,40.85,34.591,34.325,41.892,48.91,36.439,34.882,38.507,86.03,99.746,100.0,98.239,86.757,78.724,91.583,17.339,26.231,4.034,5.665,15.552,26.655,15.913,0.7916,0.2084,1.0,0.0,0.0,70.0,31.0,62.0,50.0,-70.0,31.0,62.0,50.0,70.0,-31.0,-62.0,50.0,-1.329504975433576,-0.4608646099224435,1.0833295712419608,-0.2331319473324931,0.9397281708656072,2.0505549648182892,-0.9399206331529776,0.9426989196498186,0.3748279182256586,1.5839750495664904,-0.1733832625060213,-0.9426989196498186,0.5740095403040361,-1.3126834654871402,1.6724830571047833,-1.232605049713862,-0.4434170874644078,-0.4055663998358361,1.2417571208040323
profile_0039,391.75,443.5,51.75,51.75,391.75,0.7091666666666667,0.7,0.8,0.775,0.8,4,-16.75,54.0,91.401,59.064,65.146,85.811,87.466,88.082,79.495,8.371,0.0,0.0,0.0,1.421,4.04,2.305,30.305,19.427,31.917,45.211,18.602,22.403,27.977,44.453,42.738,47.225,43.389,57.018,59.517,49.057,28.797,27.039,28.987,31.96,22.091,35.635,29.085,0.6009,0.3991,1.0,0.0,0.0,25.0,60.0,52.0,70.0,25.0,60.0,52.0,70.0,-25.0,-60.0,-52.0,70.0,0.0933605500194865,-0.332728017728991,0.9191057858086168,1.4591584612565691,-0.5126632803242493,-0.9212638247734344,0.7541563315105616,0.4342313254481904,1.6078144913363783,-0.700488738331135,-0.8272343174702107,-0.4342313254481904,1.116039323405109,0.7570037949560335,-0.0059150053525008055,-0.7364198707535794,-1.9493925795343368,-0.7956252738394887,1.2562391627985534
profile_0048,430.75,473.25,42.5,42.5,430.75,0.7233333333333334,0.725,0.8250000000000001,0.8,0.825,4,-25.5,53.0,53.565,50.385,67.965,46.972,48.428,55.905,53.87,40.937,39.933,50.911,43.845,45.58,35.591,42.8,79.306,66.545,60.002,72.799,70.53,76.55,70.955,62.685,51.168,52.023,50.489,54.622,42.567,52.259,7.33,0.0,12.672,8.098,3.003,6.269,6.229,0.5394,0.4606,0.0,1.0,0.0,60.0,32.0,44.0,34.0,60.0,32.0,44.0,34.0,-60.0,-32.0,-44.0,34.0,0.3607906969721103,0.3933793380338894,-0.0936075576970058,0.9918842439595892,-1.053447331299196,1.3901507893534617,-0.8815041860956142,0.0274572500868878,-0.6115613402629171,-1.542133291767102,-0.1959298506082347,-0.0274572500868878,0.1403857138231778,0.6942859991850283,0.12046016738860396,-1.5973983440542339,-0.3672294571741923,0.7963927970939382,0.2367272778820829
profile_0049,455.0,472.0,17.0,52.0,455.0,0.7258333333333333,0.7,0.8,0.8250000000000001,0.775,4,18.0,40.0,100.0,75.52,91.356,87.896,88.327,84.389,87.915,26.912,24.108,34.876,39.933,29.09,21.01,29.321,51.169,42.278,39.49,55.366,45.424,50.457,47.364,23.642,9.905,18.753,31.267,12.969,15.445,18.663,81.12,98.574,100.0,94.503,95.719,88.814,93.122,0.3676,0.6324,1.0,0.0,0.0,42.0,70.0,26.0,70.0,42.0,-70.0,26.0,70.0,-42.0,70.0,-26.0,70.0,0.5270773909106008,0.5215159302273363,0.9464764167141742,-0.296277111832085,1.6350219506905384,0.2014232735167722,1.338320802084196,-0.8877844194760428,1.6078144913363783,-1.1092875214286049,2.103822135817535,0.8877844194760428,1.116039323405109,-0.12104534583804015,-1.2054924570368046,1.6758341760942506,-0.8938618000879441,-0.07747984266106384,1.5912358484959848
profile_0067,290.25,346.75,56.5,56.5,290.25,0.6733333333333333,0.675,0.725,0.6000000000000001,0.575,4,-25.0,21.0,56.5,43.063,42.561,64.184,63.157,56.589,54.342,29.216,21.231,23.728,18.917,23.336,28.381,24.135,51.459,50.187,52.077,53.825,48.673,51.471,51.282,40.819,37.673,27.928,27.359,28.111,48.065,34.992,25.177,25.481,15.138,18.884,31.454,23.627,23.294,0.5713,0.4287,0.0,1.0,0.0,70.0,68.0,25.0,63.0,70.0,68.0,25.0,63.0,-70.0,-68.0,-25.0,63.0,-0.6026435503828549,-2.169352505835104,1.4391477730142066,1.6991100863550184,-1.022545385529199,2.0505549648182892,1.221487907969469,-0.9386311788962056,1.1762691907476264,-1.7826031641773783,-1.007607022287918,0.9386311788962056,0.9263288993197334,-1.3126834654871402,-0.5610264371462672,-0.9545650553389876,-1.0964818260802818,0.06765317427590777,0.25550618947937365
