term,estimate,std_error,p_value,conf_low,conf_high
Intercept,-7.7288534782641705,2.6141164109879615,0.003110679809636395,-12.85242749519568,-2.6052794613326595
profile_cont_age_years_z,-0.397176920288544,2.8881391675222003,0.8906197792020658,-6.057825670971551,5.2634718303944625
profile_cont_big_five_neuroticism_mean_pct_z,2.1719360555522815,1.865169805042632,0.24423320918282043,-1.483729587382871,5.827601698487435
profile_cont_big_five_openness_to_experience_mean_pct_z,0.08654288556123724,2.3398601679142352,0.9704958899480224,-4.499498772410507,4.672584543532982
profile_cont_big_five_conscientiousness_mean_pct_z,-2.004796025076259,2.3197737865197574,0.3874667814840167,-6.551469098935091,2.541877048782573
profile_cont_big_five_extraversion_mean_pct_z,-0.6483096921311302,1.7560812425203087,0.7119937239670898,-4.090165681397283,2.7935462971350233
profile_cont_big_five_agreeableness_mean_pct_z,-0.43519765356784323,1.8590485666322565,0.8149096910628366,-4.078865889677877,3.2084705825421906
profile_cat__profile_cat_sex_Female,2.74225443230902,4.18051553093508,0.5118493280591392,-5.451405445134078,10.935914309752118
profile_cat__profile_cat_sex_Other,-5.097157763743187,4.817235102497691,0.29000594605392815,-14.538765069700778,4.344449542214404
mean_baseline_abs_score_z,1.4237049905971548,3.3359582120606786,0.6695429061372037,-5.114652958972407,7.962062940166717
mean_exposure_quality_score_z,-1.40031253670255,2.3380618564230273,0.5492260826846179,-5.982829568918543,3.1822044955134428
