term,bootstrap_mean,bootstrap_std,conf_low,conf_high,n_bootstrap_success
Intercept,-7.800432293774808,2.4230638200672967,-12.404112344015648,-3.0996096032724023,800
profile_cont_age_years_z,-0.42831962706768273,2.6541846385574166,-5.605306367030656,4.581277632791944,800
profile_cont_big_five_neuroticism_mean_pct_z,2.1781902009803775,1.8005084463369359,-1.2785240265033975,5.8751778610134044,800
profile_cont_big_five_openness_to_experience_mean_pct_z,0.24437350749378983,2.1481204539795495,-4.008479676027434,4.698681866207473,800
profile_cont_big_five_conscientiousness_mean_pct_z,-1.9787750434099476,2.146095082500062,-6.471407219644508,1.9533552039003512,800
profile_cont_big_five_extraversion_mean_pct_z,-0.7564514657201772,1.71288167181378,-4.247939189340701,2.367394777224214,800
profile_cont_big_five_agreeableness_mean_pct_z,-0.4482117136312303,1.6982063227614408,-3.7780654787182977,2.835285271278158,800
profile_cat__profile_cat_sex_Female,2.723450180642854,3.948802935972032,-5.164163937999466,10.164598669551937,800
profile_cat__profile_cat_sex_Other,-4.888894723830816,4.369428963292131,-13.748248691123615,3.186494043897349,800
mean_baseline_abs_score_z,1.511091124292521,3.105609960721397,-4.42116216945951,7.8784855987363445,800
mean_exposure_quality_score_z,-1.6272381443579327,2.3304844418806767,-6.10673705851033,2.822492202369879,800
