Outcome leaf,Moderator,SEM b,SE,p
Alliance Commitment Support,Age Years,1.0197247782654244,2.8189203080814096,0.7175440670487454
Alliance Commitment Support,Big Five Neuroticism Mean %,-3.4476652608171743,2.1292351394522853,0.10540345785741145
Alliance Commitment Support,Big Five Openness To Experience Mean %,0.5415856097588574,2.2715966281785716,0.8115582445504932
Alliance Commitment Support,Big Five Conscientiousness Mean %,3.669768814066195,2.28610524102401,0.10843895417242821
Alliance Commitment Support,Sex Female,-0.8817677063297994,5.637925479849717,0.8757182738299283
Alliance Commitment Support,Sex Other,-3.5869573662488827,6.030468618783461,0.5519733283904038
Alliance Commitment Support,Mean Baseline Abs Score,-2.2907724024583924,2.812978900720299,0.4154397838574819
Alliance Commitment Support,Mean Exposure Quality Score,-1.702821744724371,2.687401399878366,0.5263214442370387
Conscription Support,Age Years,2.6985142343436923,3.5130976296408933,0.44241020025337163
Conscription Support,Big Five Neuroticism Mean %,5.730107534532026,2.6535730364257946,0.03081967605612368
Conscription Support,Big Five Openness To Experience Mean %,0.03047174789207539,2.830991960672312,0.9914120322260866
Conscription Support,Big Five Conscientiousness Mean %,-0.7185579515882078,2.8490734130817903,0.8008806083518711
Conscription Support,Sex Female,13.585980882264119,7.026301021199368,0.05316363671932467
Conscription Support,Sex Other,-9.852841742356844,7.515510441900771,0.18985742407391903
Conscription Support,Mean Baseline Abs Score,3.5451837337878547,3.505693112366243,0.31188975098866667
Conscription Support,Mean Exposure Quality Score,-5.744495959159146,3.3491913413586474,0.08631059128204499
Defense Spending Increase Support,Age Years,4.052217123005222,2.69021606265412,0.1319954558330596
Defense Spending Increase Support,Big Five Neuroticism Mean %,1.1897409225922384,2.032020045724789,0.5582138207719758
Defense Spending Increase Support,Big Five Openness To Experience Mean %,0.8592231648471278,2.167881695512069,0.6918525437682443
Defense Spending Increase Support,Big Five Conscientiousness Mean %,-2.2745100805223517,2.1817278844985872,0.29716744516709337
Defense Spending Increase Support,Sex Female,-12.728042378073253,5.380513114349672,0.018001779764315717
Defense Spending Increase Support,Sex Other,-5.343276326469776,5.755133799658426,0.3531811884505762
Defense Spending Increase Support,Mean Baseline Abs Score,3.2207465613999187,2.6845459238169873,0.23024186189435825
Defense Spending Increase Support,Mean Exposure Quality Score,1.219383755830607,2.5647019506105013,0.6344673155499301
Strategic Autonomy Support,Age Years,4.372707745550757,2.9408068876087516,0.13703924957707492
Strategic Autonomy Support,Big Five Neuroticism Mean %,-0.17379472218455275,2.2213005970720863,0.9376370855842175
Strategic Autonomy Support,Big Five Openness To Experience Mean %,-3.2650115439763305,2.3698176180663553,0.16828109801596325
Strategic Autonomy Support,Big Five Conscientiousness Mean %,1.6830494186735319,2.3849535651391385,0.4803779320966002
Strategic Autonomy Support,Sex Female,4.23278926082732,5.88170230830382,0.4717381946500141
Strategic Autonomy Support,Sex Other,4.984061719976682,6.291218520362187,0.4282293894377438
Strategic Autonomy Support,Mean Baseline Abs Score,5.622252487296344,2.9346085812431726,0.05538494465066357
Strategic Autonomy Support,Mean Exposure Quality Score,-3.8462775476508053,2.8036012667242325,0.1700926858742473
