Outcome leaf,Moderator,SEM b,SE,p
Adversarial Delta Indicator Alliance Commitment Support,Big Five Neuroticism Mean %,-0.1835121797510194,3.7989747057616774,0.9614726019917561
Adversarial Delta Indicator Alliance Commitment Support,Big Five Openness To Experience Mean %,-1.4168717074187127,3.8248924766897923,0.7110588546680738
Adversarial Delta Indicator Alliance Commitment Support,Big Five Conscientiousness Mean %,-8.823303688318914,3.7358984067303327,0.018188304289970203
Adversarial Delta Indicator Alliance Commitment Support,Sex Female,-10.369969535789789,11.321315377093555,0.3596833578152068
Adversarial Delta Indicator Alliance Commitment Support,Sex Other,-7.707704303160128,10.034451865658465,0.4424134605875216
Adversarial Delta Indicator Alliance Commitment Support,Mean Baseline Abs Score,-3.2371692266201038,3.6972204922587473,0.38126474053677084
Adversarial Delta Indicator Asylum Process Expansion Support,Big Five Neuroticism Mean %,1.4616029828648582,3.9107611745562436,0.7085986946529688
Adversarial Delta Indicator Asylum Process Expansion Support,Big Five Openness To Experience Mean %,-2.5531609356322016,3.93744158706939,0.5167059380737316
Adversarial Delta Indicator Asylum Process Expansion Support,Big Five Conscientiousness Mean %,-5.053186071296613,3.845828828228082,0.18886659410272744
Adversarial Delta Indicator Asylum Process Expansion Support,Sex Female,-6.870085854790826,11.654449963695383,0.5555381341276595
Adversarial Delta Indicator Asylum Process Expansion Support,Sex Other,0.9784989651569563,10.329719938554472,0.9245320110372577
Adversarial Delta Indicator Asylum Process Expansion Support,Mean Baseline Abs Score,0.9824047635479677,3.806012799445656,0.7963149577669293
Adversarial Delta Indicator Critical Infrastructure Hardening Support,Big Five Neuroticism Mean %,-0.2431113411753075,4.248915791231523,0.9543721251367243
Adversarial Delta Indicator Critical Infrastructure Hardening Support,Big Five Openness To Experience Mean %,-7.651532032552052,4.2779031982819,0.07367645605927708
Adversarial Delta Indicator Critical Infrastructure Hardening Support,Big Five Conscientiousness Mean %,1.6128480200980917,4.178368892722241,0.6994970893227319
Adversarial Delta Indicator Critical Infrastructure Hardening Support,Sex Female,-6.132887455811628,12.662183722963304,0.6281398072681372
Adversarial Delta Indicator Critical Infrastructure Hardening Support,Sex Other,-5.564447262376341,11.222907308039185,0.6200273629423627
Adversarial Delta Indicator Critical Infrastructure Hardening Support,Mean Baseline Abs Score,0.2496666581615896,4.135110062564455,0.9518551612600759
Adversarial Delta Indicator Family Reunification Support,Big Five Neuroticism Mean %,-7.3236189518033745,4.051399928295303,0.07065692145558411
Adversarial Delta Indicator Family Reunification Support,Big Five Openness To Experience Mean %,0.5450141151276598,4.079039821532938,0.8937083387511353
Adversarial Delta Indicator Family Reunification Support,Big Five Conscientiousness Mean %,6.729599112117285,3.9841324855863167,0.09120022310418552
Adversarial Delta Indicator Family Reunification Support,Sex Female,2.3479914528325154,12.073567175217333,0.8458049757940207
Adversarial Delta Indicator Family Reunification Support,Sex Other,0.8877373570404713,10.70119722233329,0.933885869013203
Adversarial Delta Indicator Family Reunification Support,Mean Baseline Abs Score,-2.608310064384005,3.9428845931801932,0.5082767713109533
Adversarial Delta Indicator Foreign Information Manipulation Transparency Mandate Support,Big Five Neuroticism Mean %,2.4816898256168423,3.6230637068232454,0.49336287321734806
Adversarial Delta Indicator Foreign Information Manipulation Transparency Mandate Support,Big Five Openness To Experience Mean %,1.7062884274053727,3.6477813589489636,0.6399557933564473
Adversarial Delta Indicator Foreign Information Manipulation Transparency Mandate Support,Big Five Conscientiousness Mean %,-3.8407064383277505,3.562908147104835,0.2810473519744574
Adversarial Delta Indicator Foreign Information Manipulation Transparency Mandate Support,Sex Female,-1.7952724101850266,10.797083432547781,0.8679414603455431
Adversarial Delta Indicator Foreign Information Manipulation Transparency Mandate Support,Sex Other,6.667748081683376,9.56980795823509,0.48596028311854367
Adversarial Delta Indicator Foreign Information Manipulation Transparency Mandate Support,Mean Baseline Abs Score,-2.0118757194941654,3.526021208119662,0.5682846599524198
Adversarial Delta Indicator Humanitarian Intervention Support,Big Five Neuroticism Mean %,6.011152711224664,2.7261245767649487,0.027452858506000766
Adversarial Delta Indicator Humanitarian Intervention Support,Big Five Openness To Experience Mean %,-3.515331732411539,2.7447230349739327,0.2002779447631291
Adversarial Delta Indicator Humanitarian Intervention Support,Big Five Conscientiousness Mean %,4.0926036062544,2.6808613512057144,0.12686044508526506
Adversarial Delta Indicator Humanitarian Intervention Support,Sex Female,17.41792095690553,8.124117289855342,0.03203472634530247
Adversarial Delta Indicator Humanitarian Intervention Support,Sex Other,20.622915701961674,7.200670697767064,0.004182922808124712
Adversarial Delta Indicator Humanitarian Intervention Support,Mean Baseline Abs Score,-5.952578471270202,2.6531062800653062,0.024856469111751434
Adversarial Delta Indicator Multiculturalism Support,Big Five Neuroticism Mean %,1.1610033676897193,3.9439647881441324,0.7684716135502152
Adversarial Delta Indicator Multiculturalism Support,Big Five Openness To Experience Mean %,-3.4340558205631435,3.9708717258956927,0.3871422184880169
Adversarial Delta Indicator Multiculturalism Support,Big Five Conscientiousness Mean %,0.8742308188821429,3.878481145421069,0.8216638660321318
Adversarial Delta Indicator Multiculturalism Support,Sex Female,-7.6159190382719215,11.753399972632796,0.5170005867042979
Adversarial Delta Indicator Multiculturalism Support,Sex Other,10.4010453749509,10.417422565741902,0.31807190841996436
Adversarial Delta Indicator Multiculturalism Support,Mean Baseline Abs Score,3.686384680487304,3.838327065815464,0.33684668119496397
Adversarial Delta Indicator Nuclear Deterrence Support,Big Five Neuroticism Mean %,3.446590420463936,3.87992537972716,0.37437209461255083
Adversarial Delta Indicator Nuclear Deterrence Support,Big Five Openness To Experience Mean %,0.8016730264940711,3.906395420987886,0.8373997326120932
Adversarial Delta Indicator Nuclear Deterrence Support,Big Five Conscientiousness Mean %,2.1716615212152197,3.8155050157011017,0.56924246151537
Adversarial Delta Indicator Nuclear Deterrence Support,Sex Female,1.9134087933314878,11.562556285742291,0.8685636734173547
Adversarial Delta Indicator Nuclear Deterrence Support,Sex Other,7.172257444386845,10.248271568160652,0.4840207059677297
Adversarial Delta Indicator Nuclear Deterrence Support,Mean Baseline Abs Score,-0.4808039501896994,3.7760029306343976,0.8986780648147841
Adversarial Delta Indicator Sanctions Use Support,Big Five Neuroticism Mean %,3.182774377327389,3.34923198297128,0.34195995661402123
Adversarial Delta Indicator Sanctions Use Support,Big Five Openness To Experience Mean %,0.34821942780185666,3.3720814710681926,0.9177523153652463
Adversarial Delta Indicator Sanctions Use Support,Big Five Conscientiousness Mean %,4.8263678248291,3.2936229899019636,0.1428207011404572
Adversarial Delta Indicator Sanctions Use Support,Sex Female,19.824708092165494,9.981038171367278,0.04700700562251936
Adversarial Delta Indicator Sanctions Use Support,Sex Other,7.717386731665218,8.846520370108879,0.383009781834204
Adversarial Delta Indicator Sanctions Use Support,Mean Baseline Abs Score,2.63952083123567,3.259523971557245,0.4180624832599851
Adversarial Delta Indicator Trust In Mainstream Journalism,Big Five Neuroticism Mean %,4.820811496317574,3.0993640718109208,0.11984617898749161
Adversarial Delta Indicator Trust In Mainstream Journalism,Big Five Openness To Experience Mean %,-3.770319401936616,3.1205088843610556,0.2269554839374932
Adversarial Delta Indicator Trust In Mainstream Journalism,Big Five Conscientiousness Mean %,7.0257882803425975,3.0479037620847103,0.02115977357563592
Adversarial Delta Indicator Trust In Mainstream Journalism,Sex Female,19.80183281048728,9.236407410711838,0.03204177690301768
Adversarial Delta Indicator Trust In Mainstream Journalism,Sex Other,6.111721359941736,8.186529788042453,0.4553302572701532
Adversarial Delta Indicator Trust In Mainstream Journalism,Mean Baseline Abs Score,-2.692995243874329,3.0163486853151755,0.37196443949097135
