profile_id,mean_abs_delta_score,mean_signed_delta_score,latent_attack_effectivity_factor_score,latent_attack_effectivity_factor_score_z,profile_moderator_linear_score,profile_moderator_linear_score_z,predicted_mean_abs_delta_from_moderators,susceptibility_index_pct,observed_effectivity_pct,contribution__profile_cont_age_years_z,contribution__profile_cont_big_five_neuroticism_mean_pct_z,contribution__profile_cont_big_five_openness_to_experience_mean_pct_z,contribution__profile_cont_big_five_conscientiousness_mean_pct_z,contribution__profile_cont_big_five_extraversion_mean_pct_z,contribution__profile_cont_big_five_agreeableness_mean_pct_z,contribution__profile_cont_resilience_index_z,contribution__profile_cat__profile_cat_sex_Female,contribution__profile_cat__profile_cat_sex_Other,group_contribution__demographics__age,group_contribution__personality__neuroticism,group_contribution__personality__openness,group_contribution__personality__conscientiousness,group_contribution__personality__extraversion,group_contribution__personality__agreeableness,group_contribution__composite__resilience,group_contribution__demographics__sex
profile_0105,46.75,26.75,0.0293836995160146,1.1817564522551562,6.590255518606034,2.0047284566285977,48.72096410268497,100.0,78.0,332.3096718979739,-1146.4120411852768,71.33601463602352,334.50038817496494,0.2456732048350244,1.2669849740322716,411.910477745031,1.433086071022251,-0.0,332.3096718979739,-1146.4120411852768,71.33601463602352,334.50038817496494,0.2456732048350244,1.2669849740322716,411.910477745031,1.433086071022251
profile_0041,37.25,0.25,-0.0081290569061762,-0.32693519222749,6.384269180107173,1.9463693880306223,48.514977764186106,98.0,31.0,768.3513684491828,1583.3337007968614,361.70432344714027,-487.9540644705853,0.9320309987025894,0.6028950701479238,-2222.0190711823648,1.433086071022251,-0.0,768.3513684491828,1583.3337007968614,361.70432344714027,-487.9540644705853,0.9320309987025894,0.6028950701479238,-2222.0190711823648,1.433086071022251
profile_0249,63.5,63.5,0.0290446701407781,1.168121336245633,6.031574117667105,1.8464455023345772,48.16228270174604,96.0,100.0,584.7548646381474,-806.15208566165,163.83145334180648,767.9064946573993,0.8149117260070583,0.7216456200384884,-705.8457102040818,0.0,-0.0,584.7548646381474,-806.15208566165,163.83145334180648,767.9064946573993,0.8149117260070583,0.7216456200384884,-705.8457102040818,0.0
profile_0169,29.75,29.75,-0.0251178032554953,-1.0101902263014697,4.773104949145363,1.4899020098417324,46.903813533224294,94.0,10.0,401.1583608271121,-908.4760433709235,-379.51552188233154,-414.6782372695717,0.6081840972209057,0.2903022657966576,1305.3860602818424,0.0,-0.0,401.1583608271121,-908.4760433709235,-379.51552188233154,-414.6782372695717,0.6081840972209057,0.2903022657966576,1305.3860602818424,0.0
profile_0222,48.5,28.5,0.026521610590689,1.066648684678504,4.562397375179307,1.430205343291849,46.69310595925824,92.0,83.0,309.3601089215945,415.17617879134946,-123.0773803996058,-145.11076838815848,0.981464302209755,0.0135195255846178,-454.213811448817,1.433086071022251,-0.0,309.3601089215945,415.17617879134946,-123.0773803996058,-145.11076838815848,0.981464302209755,0.0135195255846178,-454.213811448817,1.433086071022251
profile_0083,39.0,19.0,0.0074252667847426,0.2986300934571935,4.553148197837379,1.42758491040826,46.68385678191631,90.0,38.0,194.6122940396974,380.28928455633667,-283.36032270807175,349.68921510178563,-0.0027645233198623,1.1832520632578314,-639.2908964028707,1.433086071022251,-0.0,194.6122940396974,380.28928455633667,-283.36032270807175,349.68921510178563,-0.0027645233198623,1.1832520632578314,-639.2908964028707,1.433086071022251
profile_0166,56.5,56.5,0.0166961757601354,0.6714884019887459,4.446601225408932,1.3973985295143994,46.577309809487865,88.0,98.0,447.057486779871,-720.9641112546501,81.92382912567173,267.92953862633163,0.4573417654612915,-1.183155462874062,-72.20741442542479,1.433086071022251,-0.0,447.057486779871,-720.9641112546501,81.92382912567173,267.92953862633163,0.4573417654612915,-1.183155462874062,-72.20741442542479,1.433086071022251
profile_0089,45.25,23.75,0.0116183504349916,0.4672679348504017,4.2651210064341285,1.3459824180115258,46.39582959051306,86.0,71.0,584.7548646381474,1229.8732988059323,130.46572668268294,1019.0238719715484,-0.0149009869659687,0.6662513374711707,-2960.503991442382,0.0,-0.0,584.7548646381474,1229.8732988059323,130.46572668268294,1019.0238719715484,-0.0149009869659687,0.6662513374711707,-2960.503991442382,0.0
profile_0215,54.5,36.0,0.020392248238835,0.8201374002990329,3.665070574485787,1.1759789868348918,45.79577915856472,84.0,94.0,217.5618570160768,-493.5638735089203,-138.79978420323647,-806.0299941227908,-0.6039032354984609,1.247212082979632,1222.4204704748531,1.433086071022251,-0.0,217.5618570160768,-493.5638735089203,-138.79978420323647,-806.0299941227908,-0.6039032354984609,1.247212082979632,1222.4204704748531,1.433086071022251
profile_0085,46.5,46.5,0.0187737134421618,0.7550430122310641,3.510708394458311,1.1322458290011923,45.64141697853725,82.0,76.0,355.2592348743533,-547.9644712173363,-268.73038471592673,91.8668601352564,-0.3719672602853159,-0.6886067794086236,372.70695728678334,1.433086071022251,-0.0,355.2592348743533,-547.9644712173363,-268.73038471592673,91.8668601352564,-0.3719672602853159,-0.6886067794086236,372.70695728678334,1.433086071022251
