lhs,op,rhs,estimate,std_error,z_value,p_value,label,sig
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___detention_of_irregular_migrants_acceptance,-225.42896537629932,68.35839201353409,-3.297751142707745,0.0009746247213331394,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___detention_of_irregular_migrants_acceptance,***
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___border_enforcement_expansion_support,-106.91998021798314,68.24725306141701,-1.5666561718134242,0.11719508047430405,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___border_enforcement_expansion_support,
baseline_score,~,Susceptibility Index (z),-88.86562359219424,19.963831543185265,-4.4513310683852385,8.533965368151541e-06,baseline_score ~ Susceptibility Index (z),***
post_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___multiculturalism_support,-13.610007229001317,71.13421844215817,-0.1913285550479186,0.8482681906204057,post_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___multiculturalism_support,
post_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___detention_of_irregular_migrants_acceptance,-3.6562813437345225,76.47280415365435,-0.04781152442622643,0.9618664518974194,post_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___detention_of_irregular_migrants_acceptance,
post_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___border_enforcement_expansion_support,-3.396146520833309,71.18673925492348,-0.047707572454913,0.96194929903036,post_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___border_enforcement_expansion_support,
post_score,~,attack_present x Susceptibility Index (z),-2.6292314169296147,46.78014144798809,-0.056204007417396035,0.9551792887538542,post_score ~ attack_present x Susceptibility Index (z),
post_score,~,baseline_score,1.0085830619639222,0.1457788688893343,6.918582025236136,4.561906408184768e-12,post_score ~ baseline_score,***
post_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___immigration_level_increase_support,1.173899242027274,69.57174819274447,0.01687321754191138,0.9865377590308793,post_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___immigration_level_increase_support,
post_score,~,Susceptibility Index (z),2.9445866891270818,41.96208177691212,0.07017255971192418,0.9440563146489929,post_score ~ Susceptibility Index (z),
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___immigration_level_increase_support,4.314272485677608,68.50676513266107,0.06297586052009754,0.9497857266709913,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___immigration_level_increase_support,
post_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___temporary_work_visas_expansion_support,6.79497130971002,73.21827721529125,0.09280430471929806,0.9260590311012693,post_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___temporary_work_visas_expansion_support,
post_score,~,attack_present,49.13641465037671,40.61478990758858,1.209815802622057,0.22634958103956837,post_score ~ attack_present,
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___multiculturalism_support,108.1943795185997,68.64933989172233,1.5760439894869855,0.11501566576061983,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___multiculturalism_support,
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___temporary_work_visas_expansion_support,146.85755420645935,68.96859676396473,2.1293394544339717,0.03322618576646974,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___temporary_work_visas_expansion_support,*
