scenario_id,opinion_leaf,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cat_sex
scenario_0001,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,0,CONTROL_NONE,123.0,123.0,0.0,profile_0001,0.0,59.0,73.189,53.287,60.993,67.882,64.935,65.441,64.288,53.062,35.075,43.745,51.359,31.099,46.382,43.454,51.047,39.826,49.07,52.614,46.077,57.136,49.295,29.431,12.274,20.103,27.191,21.153,19.424,21.596,53.598,80.572,73.644,70.241,88.008,74.174,73.373,Other
scenario_0002,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Decrease_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,284.0,67.0,profile_0002,0.75,49.0,54.586,58.497,77.067,66.739,66.478,60.471,63.973,61.525,80.989,76.24,65.501,78.497,80.733,73.914,66.792,75.93,70.567,64.181,61.889,60.532,66.648,35.086,38.596,39.951,45.785,55.278,39.369,42.344,45.733,61.677,55.467,39.709,44.28,49.743,49.435,Male
scenario_0003,Issue_Position_Taxonomy > Immigration_and_Citizenship > Refugee_Acceptance_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,187.0,120.0,-67.0,profile_0003,0.75,52.0,41.01,51.731,54.682,57.867,57.562,43.409,51.043,25.74,21.215,40.161,38.047,33.236,19.001,29.567,10.944,3.237,3.9,6.304,0.0,0.0,4.064,63.701,50.491,74.423,59.464,56.944,64.575,61.6,35.01,15.664,18.674,11.088,6.482,12.359,16.546,Other
scenario_0004,Issue_Position_Taxonomy > Immigration_and_Citizenship > Asylum_Process_Expansion_Support,0,CONTROL_NONE,450.0,450.0,0.0,profile_0004,0.0,47.0,34.666,30.473,26.517,24.0,30.231,38.124,30.668,42.305,64.153,68.377,58.004,60.334,66.496,59.945,89.785,91.182,82.512,95.765,100.0,91.702,91.824,53.968,64.646,68.155,57.714,71.735,52.886,61.517,78.508,55.928,78.515,78.768,85.394,88.809,77.654,Female
scenario_0005,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,0,CONTROL_NONE,623.0,623.0,0.0,profile_0005,0.0,47.0,50.894,28.067,39.292,40.118,43.552,46.586,41.418,62.062,57.151,52.212,52.206,70.859,64.761,59.875,36.372,29.695,18.758,36.771,28.887,18.213,28.116,76.774,63.738,79.078,79.124,69.054,76.047,73.969,54.067,52.3,63.601,45.766,65.368,47.336,54.74,Male
scenario_0006,Issue_Position_Taxonomy > Immigration_and_Citizenship > Pathway_to_Citizenship_Support,0,CONTROL_NONE,683.0,683.0,0.0,profile_0006,0.0,52.0,85.816,76.673,83.586,77.043,82.19,86.775,82.014,49.247,69.854,60.749,55.079,53.714,69.521,59.694,45.185,63.267,49.198,71.282,65.758,59.995,59.114,78.307,70.19,64.153,60.418,77.803,67.841,69.785,34.163,54.607,54.883,48.294,46.827,47.426,47.7,Other
scenario_0007,Issue_Position_Taxonomy > Immigration_and_Citizenship > Temporary_Work_Visas_Expansion_Support,0,CONTROL_NONE,612.0,610.0,-2.0,profile_0007,0.0,41.0,30.697,27.203,22.472,40.387,27.889,25.13,28.963,56.984,48.073,39.398,38.861,51.684,50.19,47.532,89.776,99.023,88.191,76.582,84.792,91.383,88.291,43.691,36.004,48.718,49.166,60.067,36.982,45.771,83.002,83.719,82.336,77.142,71.997,69.186,77.897,Female
scenario_0008,Issue_Position_Taxonomy > Immigration_and_Citizenship > Family_Reunification_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,380.0,-70.0,profile_0008,0.75,45.0,20.223,5.502,40.965,26.241,16.96,25.998,22.648,22.724,22.249,18.907,15.073,15.364,22.127,19.407,21.175,45.929,41.825,33.245,26.786,18.787,31.291,28.807,21.301,32.24,40.998,44.251,51.114,36.452,71.323,82.109,77.159,74.551,64.718,80.888,75.125,Other
scenario_0009,Issue_Position_Taxonomy > Immigration_and_Citizenship > Birthright_Citizenship_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,380.0,-70.0,profile_0009,0.75,24.0,67.95,79.181,51.681,65.089,46.67,65.831,62.734,64.947,60.882,69.405,70.944,64.771,63.515,65.744,48.453,67.241,66.994,82.768,57.062,41.897,60.736,25.46,21.997,55.278,37.569,29.485,32.203,33.665,51.649,66.799,55.719,73.777,68.16,64.501,63.434,Female
scenario_0010,Issue_Position_Taxonomy > Immigration_and_Citizenship > Multiculturalism_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,683.0,640.0,-43.0,profile_0010,0.75,55.0,61.94,40.772,59.99,56.433,53.115,48.124,53.396,73.149,39.559,60.125,56.898,48.919,61.161,56.635,67.692,90.773,80.373,65.005,71.352,85.456,76.775,34.482,41.915,27.038,24.615,17.506,31.759,29.553,0.0,3.043,14.353,8.199,15.469,11.809,8.812,Other
