2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0001, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0001: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0001: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0004, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0004: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0004: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0005, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0005: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0005: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0008, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0008: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0008: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0009, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0009: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0009: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0012, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0012: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0012: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0013, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0013: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0013: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0016, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0016: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0016: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0017, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0017: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0017: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack generation failed for scenario_0020, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack realism reviewer failed for scenario_0020: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | WARNING | __main__ | Attack rewrite failed for scenario_0020: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:20 | INFO | __main__ | Stage 03 completed: 20 records
2026-03-22 22:50:24 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:50:25 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:50:27 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:50:28 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
