ontology,leaf_label,leaf_path,n_scenarios
OPINION,Humanitarian_Intervention_Support,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Humanitarian_Intervention_Support,1
OPINION,International_Cooperation_Support,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > International_Cooperation_Support,1
OPINION,Multilateralism_Support,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Multilateralism_Support,1
OPINION,Non_Interventionism_Support,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Non_Interventionism_Support,1
OPINION,Sanctions_Use_Support,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Sanctions_Use_Support,1
OPINION,Unilateralism_Preference,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Unilateralism_Preference,1
OPINION,Assimilationism_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Assimilationism_Support,1
OPINION,Asylum_Process_Expansion_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Asylum_Process_Expansion_Support,1
OPINION,Birthright_Citizenship_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Birthright_Citizenship_Support,1
OPINION,Border_Enforcement_Expansion_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,1
OPINION,Deportation_Enforcement_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Deportation_Enforcement_Support,1
OPINION,Detention_of_Irregular_Migrants_Acceptance,Issue_Position_Taxonomy > Immigration_and_Citizenship > Detention_of_Irregular_Migrants_Acceptance,1
OPINION,Family_Reunification_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Family_Reunification_Support,1
OPINION,Immigration_Level_Decrease_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Decrease_Support,1
OPINION,Immigration_Level_Increase_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,1
OPINION,Language_Integration_Requirements_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Language_Integration_Requirements_Support,1
OPINION,Multiculturalism_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Multiculturalism_Support,1
OPINION,Pathway_to_Citizenship_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Pathway_to_Citizenship_Support,1
OPINION,Refugee_Acceptance_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Refugee_Acceptance_Support,1
OPINION,Temporary_Work_Visas_Expansion_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Temporary_Work_Visas_Expansion_Support,1
ATTACK,Misleading narrative framing,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,10
