term,estimate,std_error,p_value,conf_low,conf_high
Intercept,42.13070858407893,2.8997315628360845,7.916765143555903e-48,36.44733915608616,47.814078012071704
profile_cont_age_years_z,376.6872783952028,2406.674415574542,0.8756249246409493,-4340.307898644882,5093.682455435288
profile_cont_big_five_neuroticism_mean_pct_z,-1093.9513656485465,7043.39738335124,0.8765723079705607,-14898.756565820633,12710.85383452354
profile_cont_big_five_openness_to_experience_mean_pct_z,248.78132461637304,1603.114828674879,0.8766745144141647,-2893.2660026684885,3390.828651901235
profile_cont_big_five_conscientiousness_mean_pct_z,618.9492587031107,3979.2387013349266,0.876391963052538,-7180.215281801282,8418.113799207504
profile_cont_big_five_extraversion_mean_pct_z,-0.6409620984989247,1.7088879493024076,0.7076042753474706,-3.9903209327461533,2.708396735748304
profile_cont_big_five_agreeableness_mean_pct_z,0.948280210799194,1.3618507396666715,0.48623015016938065,-1.720898191266715,3.617458612865103
profile_cont_resilience_index_z,-1309.655619612176,8424.806391731603,0.876464747480904,-17821.972724128962,15202.661484904611
profile_cat__profile_cat_sex_Female,1.433086071022251,3.8118776162682533,0.7069519847260406,-6.038056770337917,8.90422891238242
profile_cat__profile_cat_sex_Other,-3.0404932757041103,3.8349877350079793,0.42787688291243076,-10.556931117472587,4.475944566064365
mean_baseline_abs_score_z,3.296262258580701,2.0526383769235403,0.10830334693128706,-0.7268350334741904,7.319359550635593
mean_exposure_quality_score_z,-2.52885468037592,2.1145068499207134,0.23171418655477238,-6.6732119512837595,1.6155025905319196
