profile_id,latent_attack_effectivity_factor_score
profile_0012,0.08889479219655644
profile_0015,0.005701597309614663
profile_0024,0.0066370063703672585
profile_0029,0.011056610821356665
profile_0035,-0.011774800569150846
profile_0036,-0.002710323875433837
profile_0039,-0.00024114002521655187
profile_0041,-0.0081290569061762
profile_0045,-0.0108771980652946
profile_0046,-0.0171685135722841
profile_0051,-0.006855429301778175
profile_0052,-0.015425406509381484
profile_0058,-0.022474844488181822
profile_0067,-0.0341171827264281
profile_0071,0.0015412208335711594
profile_0079,0.03499619339155608
profile_0083,0.0074252667847426665
profile_0085,0.01877371344216188
profile_0088,-0.03570385734883634
profile_0089,0.011618350434991674
profile_0096,-0.0014346890804679963
profile_0097,-0.00757975453622451
profile_0100,0.01932513697521005
profile_0104,-0.011572777724935243
profile_0105,0.029383699516014654
profile_0106,0.02855334488304096
profile_0111,-0.004386245451560897
profile_0132,0.024446978924858635
profile_0135,-0.006007257914682582
profile_0136,0.010517054680907197
profile_0138,0.02204537472834358
profile_0142,0.03902287811024415
profile_0151,0.031011342422647102
profile_0152,-0.022676695516529108
profile_0154,-0.038687437966701266
profile_0159,-0.02898622790235082
profile_0162,-0.034865544378194
profile_0166,0.016696175760135414
profile_0169,-0.025117803255495383
profile_0171,-0.024820905327220165
profile_0184,0.015170406436207963
profile_0201,-0.009604527795560237
profile_0213,-0.023833085967282452
profile_0215,0.020392248238835085
profile_0221,-0.012750739731524761
profile_0222,0.026521610590689006
profile_0225,-0.01384432593167663
profile_0241,-0.0423496039999772
profile_0245,-0.024780297124285207
profile_0249,0.0290446701407781
