profile_id,mean_baseline_score,mean_post_score,mean_signed_delta_score,mean_abs_delta_score,mean_baseline_abs_score,mean_exposure_quality_score,mean_attack_realism_score,mean_attack_coherence_score,mean_post_plausibility_score,mean_post_consistency_score,n_attacked_opinion_leaves,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,abs_delta_indicator__alliance_commitment_support,abs_delta_indicator__conscription_support,abs_delta_indicator__defense_spending_increase_support,abs_delta_indicator__strategic_autonomy_support,signed_delta_indicator__alliance_commitment_support,signed_delta_indicator__conscription_support,signed_delta_indicator__defense_spending_increase_support,signed_delta_indicator__strategic_autonomy_support,mean_baseline_abs_score_z,mean_exposure_quality_score_z,mean_abs_delta_score_z,mean_signed_delta_score_z,abs_delta_indicator__alliance_commitment_support_z,abs_delta_indicator__conscription_support_z,abs_delta_indicator__defense_spending_increase_support_z,abs_delta_indicator__strategic_autonomy_support_z,profile_cont_age_years_z,profile_cont_big_five_neuroticism_mean_pct_z,profile_cont_big_five_openness_to_experience_mean_pct_z,profile_cont_big_five_conscientiousness_mean_pct_z,profile_cont_big_five_extraversion_mean_pct_z,profile_cont_big_five_agreeableness_mean_pct_z,profile_cont_resilience_index_z
profile_0012,212.5,256.25,43.75,54.25,554.0,0.7033333333333334,0.6749999999999999,0.775,0.775,0.825,4,64.0,29.118,18.402,28.499,18.412,13.38,16.995,20.801,11.785,3.23,3.844,0.0,0.0,0.0,3.143,81.324,92.538,79.59,93.582,91.21,100.0,89.707,61.901,73.617,72.434,85.483,63.828,71.35,71.436,73.84,86.834,73.721,65.248,75.365,72.942,74.658,0.6289,0.3711,1.0,0.0,0.0,27.0,133.0,21.0,36.0,27.0,133.0,-21.0,36.0,1.4828869556010478,0.0040481361528102,1.4802777919704178,1.1085105701222513,-0.8827136592807615,3.982675742789455,-0.9519725607256064,-0.4973241309155833,1.308662758224191,0.7492467435886248,0.8738545546651695,-1.6174393963080056,1.437741789536589,-1.1189962600000545,-0.8498534121760895
profile_0015,250.0,294.0,44.0,44.0,461.5,0.7066666666666667,0.7,0.8,0.8250000000000001,0.8375,4,35.0,66.337,63.271,44.297,79.324,66.802,73.81,65.64,90.539,90.757,91.674,100.0,93.258,99.923,94.358,53.691,36.441,47.267,43.798,61.721,46.192,48.185,69.04,85.323,62.701,87.783,94.736,93.425,82.168,0.0,1.527,6.895,12.235,7.919,0.0,4.763,0.5916,0.4084,1.0,0.0,0.0,40.0,36.0,30.0,70.0,40.0,36.0,30.0,70.0,0.7577492764241769,0.1197091690902581,0.276561221744572,1.12127848730864,-0.0438775795548916,-0.3716924611169599,-0.4117611454336481,1.4329293452407907,-0.45815381479729617,1.1514220466458651,-1.6838768858389739,1.7435041648482408,-0.11603116286367691,0.6652636487840184,-0.5901914505593778
profile_0024,-12.0,-7.25,4.75,40.25,213.0,0.6566666666666667,0.625,0.7250000000000001,0.625,0.7250000000000001,4,18.0,17.319,10.72,21.327,29.796,21.141,22.046,20.391,38.594,35.562,32.3,44.192,30.506,44.097,37.542,39.985,23.913,21.137,37.226,25.67,45.776,32.285,95.453,87.961,64.27,85.081,87.55,90.682,85.166,30.009,43.898,26.657,21.698,38.075,24.073,30.735,0.7637,0.2363,1.0,0.0,0.0,57.0,63.0,27.0,14.0,-57.0,63.0,27.0,-14.0,-1.1903232995266602,-1.615206324971476,-0.1638228893136642,-0.883284510954358,1.0530619093173996,0.8403481729600832,-0.5918316171976342,-1.746311674310884,-1.493873874844375,1.2637703096504869,-0.733459817768674,-0.3499603900018748,-0.7110167113238725,-1.1353112215870986,-1.7882564262761627
profile_0029,535.25,576.75,41.5,41.5,535.25,0.7066666666666667,0.7,0.8,0.675,0.775,4,55.0,44.651,69.642,57.509,67.215,49.796,56.639,57.575,67.514,62.916,59.691,79.437,67.02,72.194,68.129,100.0,100.0,90.498,96.085,100.0,100.0,97.764,51.345,41.646,62.568,41.139,44.842,58.945,50.081,21.848,7.605,9.069,8.084,0.0,12.641,9.874,0.4577,0.5423,0.0,0.0,1.0,29.0,57.0,38.0,42.0,29.0,57.0,38.0,42.0,1.3358995882003306,0.1197091690902581,-0.0170281856275855,0.9935993154447548,-0.7536619547075507,0.5710058098318515,0.0684267792703147,-0.1566911645350467,0.7603403734933847,-0.051019152496668566,-1.4968454044394934,0.7770601735576945,1.7392385545645004,0.3443364165900903,0.34194626151777224
profile_0035,453.75,497.25,43.5,43.5,453.75,0.7066666666666667,0.7,0.8,0.8,0.8,4,40.0,34.179,31.768,2.199,16.693,29.258,33.497,24.599,30.02,20.435,15.734,29.252,23.713,34.599,25.625,57.116,56.685,52.229,53.524,58.459,65.353,57.228,27.461,26.868,26.102,27.349,34.008,18.79,26.763,78.547,62.399,74.778,85.184,64.172,72.449,72.922,0.4334,0.5666,0.0,1.0,0.0,42.0,32.0,48.0,52.0,42.0,32.0,48.0,52.0,0.6969944978985472,0.1197091690902581,0.2178433402701405,1.095742652935863,0.0851741250183191,-0.5512540365357812,0.6686616851502684,0.4110304460991809,-0.15353026772462597,-0.9248473035112725,0.8103275243952617,-0.7890588323446801,0.22236219026371593,-0.9678640060790948,0.5111094161367024
profile_0036,204.5,249.0,44.5,44.5,365.0,0.7066666666666667,0.7,0.8,0.775,0.825,4,61.0,75.323,77.957,60.235,84.264,90.849,75.19,77.303,0.0,8.201,3.806,11.681,12.514,0.0,6.034,19.753,31.142,37.0,34.662,15.516,18.891,26.161,72.29,60.946,42.085,57.216,57.066,65.984,59.264,12.99,16.31,26.479,0.0,20.396,20.668,16.14,0.633,0.367,0.0,0.0,1.0,40.0,41.0,46.0,51.0,40.0,41.0,46.0,51.0,0.0012542922018196,0.1197091690902581,0.3352791032190034,1.1468143216814168,-0.0438775795548916,-0.1472404918434334,0.5486147039742776,0.3542582850357581,1.1258886299805888,0.2931082988613856,-1.267547955320115,-1.5109164797339476,-0.9401796986679123,1.1293646170515674,-0.8783953436138513
profile_0039,125.75,140.0,14.25,51.75,369.25,0.7091666666666667,0.7,0.8,0.775,0.725,4,64.0,79.413,66.989,65.918,65.119,75.84,53.049,67.721,57.199,65.249,53.837,54.224,69.865,51.762,58.689,40.015,41.671,35.911,47.725,41.087,39.155,40.927,54.114,66.404,73.831,54.99,51.695,76.206,62.873,61.665,33.04,39.654,29.362,49.556,47.074,43.392,0.4828,0.5172,0.0,0.0,1.0,30.0,37.0,65.0,75.0,30.0,37.0,65.0,-75.0,0.0345714288126488,0.206454943793347,1.18668838459826,-0.3981036578715942,-0.6891361024209454,-0.3268020672622547,1.6890610251461895,1.7167901505579044,1.308662758224191,0.42835342267181964,-0.27029068059919187,0.4292302418873006,-0.3876289685695951,0.7480720269855764,0.1672139495451324
profile_0041,194.5,194.75,0.25,37.25,536.0,0.7425,0.75,0.8500000000000001,0.8,0.825,4,76.0,58.845,62.696,66.343,61.376,71.572,68.563,64.899,12.852,10.974,40.183,22.923,31.538,35.398,25.644,14.699,26.494,13.39,0.0,8.129,11.852,12.427,17.036,1.054,18.234,23.099,3.964,13.532,12.82,86.416,93.082,94.688,83.861,100.0,85.01,90.509,0.2631,0.7369,1.0,0.0,0.0,36.0,38.0,35.0,40.0,-36.0,-38.0,35.0,40.0,1.3417790828963594,1.3630652731678377,-0.5161301781602532,-1.1131070203093514,-0.3019809887013131,-0.2819116734075493,-0.1116436924936713,-0.2702354866618922,2.0397592711985997,-1.4473529176118225,1.4539046449925344,-0.7883587509144114,-1.4541124988284357,0.635777340159629,1.6966437878076406
profile_0045,108.5,81.75,-26.75,43.25,352.0,0.7066666666666667,0.7,0.8,0.675,0.675,4,49.0,2.237,16.226,13.399,15.344,0.0,11.979,9.864,22.153,6.528,20.781,28.797,26.388,18.6,20.541,22.861,37.404,7.47,27.943,30.415,20.56,24.442,17.905,0.0,13.441,17.931,7.256,16.658,12.198,75.899,52.826,66.849,63.716,69.925,51.806,63.504,0.3675,0.6325,1.0,0.0,0.0,67.0,36.0,33.0,37.0,-67.0,-36.0,33.0,-37.0,-0.1006569491960108,0.1197091690902581,0.1884843995329247,-2.492042076439312,1.6983204321834535,-0.3716924611169599,-0.231690673669662,-0.4405519698521605,0.3947921170061804,-1.470661996860947,0.4656860663987238,-0.9763858845281845,-1.004505494756156,-1.5542078084817645,0.969868753148533
profile_0046,141.0,184.75,43.75,43.75,141.0,0.7066666666666667,0.7,0.8,0.725,0.675,4,36.0,64.268,65.759,76.746,65.975,80.793,68.233,70.295,30.799,23.814,23.834,28.774,36.889,35.813,29.987,37.767,26.381,34.801,23.372,50.655,26.024,33.167,0.0,11.591,0.0,0.0,0.0,3.291,2.48,34.258,18.212,34.294,36.642,32.547,41.906,32.977,0.3632,0.6368,0.0,0.0,1.0,72.0,18.0,27.0,58.0,72.0,18.0,27.0,58.0,-1.7547547903454137,0.1197091690902581,0.2472022810073562,1.1085105701222513,2.02094969361648,-1.1797195505016556,-0.5918316171976342,0.7516634124797175,-0.3972291053827621,-1.8348382543255632,-0.651416268307192,-0.6283348745113903,-0.6780118525979671,0.8504981516808239,0.999802973924723
