term,bootstrap_mean,bootstrap_std,conf_low,conf_high,n_bootstrap_success
Intercept,41.92853385257886,2.6356704731095713,36.69279094519667,46.82376839821755,800
profile_cont_age_years_z,375.7446571437039,2205.697581478172,-4008.9026512070686,4527.944720697994,800
profile_cont_big_five_neuroticism_mean_pct_z,-1090.8424785990503,6455.258004790373,-13243.455556559562,11732.993036734832,800
profile_cont_big_five_openness_to_experience_mean_pct_z,248.00491471092795,1469.396410591073,-2671.183030181615,3011.2770841982738,800
profile_cont_big_five_conscientiousness_mean_pct_z,617.1518056414407,3647.0789102192402,-6628.968970910598,7483.184720269433,800
profile_cont_big_five_extraversion_mean_pct_z,-0.788430948896663,1.4154189401666608,-3.3917433136422344,2.024451667058355,800
profile_cont_big_five_agreeableness_mean_pct_z,0.9206397801966351,1.246266262791376,-1.5840589326919843,3.5965298810522004,800
profile_cont_resilience_index_z,-1305.9179395758642,7721.268884845563,-15843.153962384875,14032.864600191884,800
profile_cat__profile_cat_sex_Female,1.709472498880655,3.5086344645253886,-4.771766449822586,8.75273136141842,800
profile_cat__profile_cat_sex_Other,-2.7795692286387363,3.62087491836378,-10.028597617187115,4.766486479850242,800
mean_baseline_abs_score_z,3.285910466406742,1.8261723231087867,-0.4587323226494001,6.934654798816193,800
mean_exposure_quality_score_z,-2.529753187007204,1.9200513758421442,-6.551212705786103,1.1688975762340346,800
