profile_id,component_type,component_name,component_key,ontology_group,contribution,susceptibility_index_pct
profile_0012,term,Age Years,profile_cont_age_years_z,Demographics: Age,1.9025476661210963,100.0
profile_0012,term,Big Five Neuroticism Mean %,profile_cont_big_five_neuroticism_mean_pct_z,Personality: Neuroticism,0.6976874641840938,100.0
profile_0012,term,Big Five Openness To Experience Mean %,profile_cont_big_five_openness_to_experience_mean_pct_z,Personality: Openness,0.03652384708840397,100.0
profile_0012,term,Big Five Conscientiousness Mean %,profile_cont_big_five_conscientiousness_mean_pct_z,Personality: Conscientiousness,-0.08622610549689243,100.0
profile_0012,term,Big Five Extraversion Mean %,profile_cont_big_five_extraversion_mean_pct_z,Personality: Extraversion,0.512698885227388,100.0
profile_0012,term,Big Five Agreeableness Mean %,profile_cont_big_five_agreeableness_mean_pct_z,Personality: Agreeableness,-0.3356793988205035,100.0
profile_0012,term,Resilience Index,profile_cont_resilience_index_z,Composite: Resilience,0.2807350313660231,100.0
profile_0012,term,Sex Female,profile_cat__profile_cat_sex_Female,Demographics: Sex,1.5214673584754999,100.0
profile_0012,term,Sex Other,profile_cat__profile_cat_sex_Other,Demographics: Sex,-0.0,100.0
profile_0012,group,Demographics: Age,demographics__age,Demographics: Age,1.9025476661210963,100.0
profile_0012,group,Personality: Neuroticism,personality__neuroticism,Personality: Neuroticism,0.6976874641840938,100.0
profile_0012,group,Personality: Openness,personality__openness,Personality: Openness,0.03652384708840397,100.0
profile_0012,group,Personality: Conscientiousness,personality__conscientiousness,Personality: Conscientiousness,-0.08622610549689243,100.0
profile_0012,group,Personality: Extraversion,personality__extraversion,Personality: Extraversion,0.512698885227388,100.0
profile_0012,group,Personality: Agreeableness,personality__agreeableness,Personality: Agreeableness,-0.3356793988205035,100.0
profile_0012,group,Composite: Resilience,composite__resilience,Composite: Resilience,0.2807350313660231,100.0
profile_0012,group,Demographics: Sex,demographics__sex,Demographics: Sex,1.5214673584754999,100.0
profile_0015,term,Age Years,profile_cont_age_years_z,Demographics: Age,-0.6660688291075723,86.0
profile_0015,term,Big Five Neuroticism Mean %,profile_cont_big_five_neuroticism_mean_pct_z,Personality: Neuroticism,1.07218714636294,86.0
profile_0015,term,Big Five Openness To Experience Mean %,profile_cont_big_five_openness_to_experience_mean_pct_z,Personality: Openness,-0.07037974633850348,86.0
profile_0015,term,Big Five Conscientiousness Mean %,profile_cont_big_five_conscientiousness_mean_pct_z,Personality: Conscientiousness,0.09294665036330527,86.0
profile_0015,term,Big Five Extraversion Mean %,profile_cont_big_five_extraversion_mean_pct_z,Personality: Extraversion,-0.041376725838246024,86.0
profile_0015,term,Big Five Agreeableness Mean %,profile_cont_big_five_agreeableness_mean_pct_z,Personality: Agreeableness,0.19956751390835123,86.0
profile_0015,term,Resilience Index,profile_cont_resilience_index_z,Composite: Resilience,0.19495999311280665,86.0
profile_0015,term,Sex Female,profile_cat__profile_cat_sex_Female,Demographics: Sex,1.5214673584754999,86.0
profile_0015,term,Sex Other,profile_cat__profile_cat_sex_Other,Demographics: Sex,-0.0,86.0
profile_0015,group,Demographics: Age,demographics__age,Demographics: Age,-0.6660688291075723,86.0
profile_0015,group,Personality: Neuroticism,personality__neuroticism,Personality: Neuroticism,1.07218714636294,86.0
profile_0015,group,Personality: Openness,personality__openness,Personality: Openness,-0.07037974633850348,86.0
profile_0015,group,Personality: Conscientiousness,personality__conscientiousness,Personality: Conscientiousness,0.09294665036330527,86.0
profile_0015,group,Personality: Extraversion,personality__extraversion,Personality: Extraversion,-0.041376725838246024,86.0
profile_0015,group,Personality: Agreeableness,personality__agreeableness,Personality: Agreeableness,0.19956751390835123,86.0
profile_0015,group,Composite: Resilience,composite__resilience,Composite: Resilience,0.19495999311280665,86.0
profile_0015,group,Demographics: Sex,demographics__sex,Demographics: Sex,1.5214673584754999,86.0
profile_0024,term,Age Years,profile_cont_age_years_z,Demographics: Age,-2.1718095332071368,57.99999999999999
profile_0024,term,Big Five Neuroticism Mean %,profile_cont_big_five_neuroticism_mean_pct_z,Personality: Neuroticism,1.176804183930232,57.99999999999999
profile_0024,term,Big Five Openness To Experience Mean %,profile_cont_big_five_openness_to_experience_mean_pct_z,Personality: Openness,-0.03065587297869748,57.99999999999999
profile_0024,term,Big Five Conscientiousness Mean %,profile_cont_big_five_conscientiousness_mean_pct_z,Personality: Conscientiousness,-0.018656477378327055,57.99999999999999
profile_0024,term,Big Five Extraversion Mean %,profile_cont_big_five_extraversion_mean_pct_z,Personality: Extraversion,-0.2535486399065372,57.99999999999999
profile_0024,term,Big Five Agreeableness Mean %,profile_cont_big_five_agreeableness_mean_pct_z,Personality: Agreeableness,-0.34057360329024705,57.99999999999999
profile_0024,term,Resilience Index,profile_cont_resilience_index_z,Composite: Resilience,0.5907209604956098,57.99999999999999
profile_0024,term,Sex Female,profile_cat__profile_cat_sex_Female,Demographics: Sex,1.5214673584754999,57.99999999999999
profile_0024,term,Sex Other,profile_cat__profile_cat_sex_Other,Demographics: Sex,-0.0,57.99999999999999
profile_0024,group,Demographics: Age,demographics__age,Demographics: Age,-2.1718095332071368,57.99999999999999
profile_0024,group,Personality: Neuroticism,personality__neuroticism,Personality: Neuroticism,1.176804183930232,57.99999999999999
profile_0024,group,Personality: Openness,personality__openness,Personality: Openness,-0.03065587297869748,57.99999999999999
