outcome,term,estimate,alpha,cv_mse
abs_delta_indicator__alliance_commitment_support,Intercept,40.68134781489514,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_age_years_z,-0.13154617219876305,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_big_five_neuroticism_mean_pct_z,-0.3435988712927253,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_big_five_openness_to_experience_mean_pct_z,-0.004510477071847662,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_big_five_conscientiousness_mean_pct_z,0.3251535707365325,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_big_five_extraversion_mean_pct_z,-0.38026809917001125,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_big_five_agreeableness_mean_pct_z,0.2842018268478444,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cont_resilience_index_z,0.4023719050538579,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cat__profile_cat_sex_Female,0.06256827672064169,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,profile_cat__profile_cat_sex_Other,-0.07069071556303097,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,mean_baseline_abs_score_z,-0.12214902328568736,316.22776601683796,254.2805665267765
abs_delta_indicator__alliance_commitment_support,mean_exposure_quality_score_z,-0.1342996066199556,316.22776601683796,254.2805665267765
abs_delta_indicator__conscription_support,Intercept,43.393688996245814,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_age_years_z,2.516344821005896,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_big_five_neuroticism_mean_pct_z,3.4979205668484585,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_big_five_openness_to_experience_mean_pct_z,0.48500479326109514,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_big_five_conscientiousness_mean_pct_z,0.6529577288928605,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_big_five_extraversion_mean_pct_z,1.6895658924158061,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_big_five_agreeableness_mean_pct_z,0.5148207450036748,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cont_resilience_index_z,-1.8059265895659138,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cat__profile_cat_sex_Female,8.462395397742426,10.0,462.0308338193332
abs_delta_indicator__conscription_support,profile_cat__profile_cat_sex_Other,-6.221573223369386,10.0,462.0308338193332
abs_delta_indicator__conscription_support,mean_baseline_abs_score_z,1.9541762199739823,10.0,462.0308338193332
abs_delta_indicator__conscription_support,mean_exposure_quality_score_z,-3.7431462050385904,10.0,462.0308338193332
abs_delta_indicator__defense_spending_increase_support,Intercept,37.66829360438664,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_age_years_z,2.2666569894542916,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_big_five_neuroticism_mean_pct_z,0.42874264497552006,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_big_five_openness_to_experience_mean_pct_z,0.19036769834804734,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_big_five_conscientiousness_mean_pct_z,-1.3029858764059357,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_big_five_extraversion_mean_pct_z,-0.1839905117862659,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_big_five_agreeableness_mean_pct_z,0.28527502036125896,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cont_resilience_index_z,-0.29016549973955513,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cat__profile_cat_sex_Female,-2.559297330485079,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,profile_cat__profile_cat_sex_Other,0.19333589993213707,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,mean_baseline_abs_score_z,2.5838140663541362,31.622776601683793,281.0195429351082
abs_delta_indicator__defense_spending_increase_support,mean_exposure_quality_score_z,1.9675724007470259,31.622776601683793,281.0195429351082
abs_delta_indicator__strategic_autonomy_support,Intercept,44.642843513797686,177.82794100389228,310.93570853027234
abs_delta_indicator__strategic_autonomy_support,profile_cont_age_years_z,1.1637863839163471,177.82794100389228,310.93570853027234
abs_delta_indicator__strategic_autonomy_support,profile_cont_big_five_neuroticism_mean_pct_z,0.14167638155674464,177.82794100389228,310.93570853027234
abs_delta_indicator__strategic_autonomy_support,profile_cont_big_five_openness_to_experience_mean_pct_z,-0.5036769977931816,177.82794100389228,310.93570853027234
abs_delta_indicator__strategic_autonomy_support,profile_cont_big_five_conscientiousness_mean_pct_z,0.5381155938896749,177.82794100389228,310.93570853027234
abs_delta_indicator__strategic_autonomy_support,profile_cont_big_five_extraversion_mean_pct_z,0.3010931722481997,177.82794100389228,310.93570853027234
abs_delta_indicator__strategic_autonomy_support,profile_cont_big_five_agreeableness_mean_pct_z,0.11563277688599678,177.82794100389228,310.93570853027234
