lhs,op,rhs,estimate,std_error,z_value,p_value
adversarial_delta_indicator__alliance_commitment_support,~,Big Five Neuroticism Mean %,-0.1835121797510194,3.7989747057616774,-0.04830571245253336,0.9614726019917561
adversarial_delta_indicator__alliance_commitment_support,~,Big Five Openness To Experience Mean %,-1.4168717074187127,3.8248924766897923,-0.3704343889542634,0.7110588546680738
adversarial_delta_indicator__alliance_commitment_support,~,Big Five Conscientiousness Mean %,-8.823303688318914,3.7358984067303327,-2.361762212918078,0.018188304289970203
adversarial_delta_indicator__alliance_commitment_support,~,Sex Female,-10.369969535789789,11.321315377093555,-0.9159686123372606,0.3596833578152068
adversarial_delta_indicator__alliance_commitment_support,~,Sex Other,-7.707704303160128,10.034451865658465,-0.7681240994874787,0.4424134605875216
adversarial_delta_indicator__alliance_commitment_support,~,Mean Baseline Abs Score,-3.2371692266201038,3.6972204922587473,-0.8755683447598606,0.38126474053677084
adversarial_delta_indicator__asylum_process_expansion_support,~,Big Five Neuroticism Mean %,1.4616029828648582,3.9107611745562436,0.3737387474269209,0.7085986946529688
adversarial_delta_indicator__asylum_process_expansion_support,~,Big Five Openness To Experience Mean %,-2.5531609356322016,3.93744158706939,-0.6484314444222277,0.5167059380737316
adversarial_delta_indicator__asylum_process_expansion_support,~,Big Five Conscientiousness Mean %,-5.053186071296613,3.845828828228082,-1.313939412541013,0.18886659410272744
adversarial_delta_indicator__asylum_process_expansion_support,~,Sex Female,-6.870085854790826,11.654449963695383,-0.5894817753039523,0.5555381341276595
adversarial_delta_indicator__asylum_process_expansion_support,~,Sex Other,0.9784989651569563,10.329719938554472,0.09472657254769595,0.9245320110372577
adversarial_delta_indicator__asylum_process_expansion_support,~,Mean Baseline Abs Score,0.9824047635479677,3.806012799445656,0.25811914339615366,0.7963149577669293
adversarial_delta_indicator__critical_infrastructure_hardening_support,~,Big Five Neuroticism Mean %,-0.2431113411753075,4.248915791231523,-0.0572172650907694,0.9543721251367243
adversarial_delta_indicator__critical_infrastructure_hardening_support,~,Big Five Openness To Experience Mean %,-7.651532032552052,4.2779031982819,-1.7886173851767584,0.07367645605927708
adversarial_delta_indicator__critical_infrastructure_hardening_support,~,Big Five Conscientiousness Mean %,1.6128480200980917,4.178368892722241,0.38599943219635696,0.6994970893227319
adversarial_delta_indicator__critical_infrastructure_hardening_support,~,Sex Female,-6.132887455811628,12.662183722963304,-0.4843467438155191,0.6281398072681372
adversarial_delta_indicator__critical_infrastructure_hardening_support,~,Sex Other,-5.564447262376341,11.222907308039185,-0.49581156732800635,0.6200273629423627
adversarial_delta_indicator__critical_infrastructure_hardening_support,~,Mean Baseline Abs Score,0.2496666581615896,4.135110062564455,0.06037727034687304,0.9518551612600759
adversarial_delta_indicator__family_reunification_support,~,Big Five Neuroticism Mean %,-7.3236189518033745,4.051399928295303,-1.8076761320581618,0.07065692145558411
adversarial_delta_indicator__family_reunification_support,~,Big Five Openness To Experience Mean %,0.5450141151276598,4.079039821532938,0.13361333523895463,0.8937083387511353
adversarial_delta_indicator__family_reunification_support,~,Big Five Conscientiousness Mean %,6.729599112117285,3.9841324855863167,1.6891002336046181,0.09120022310418552
adversarial_delta_indicator__family_reunification_support,~,Sex Female,2.3479914528325154,12.073567175217333,0.19447371425173318,0.8458049757940207
adversarial_delta_indicator__family_reunification_support,~,Sex Other,0.8877373570404713,10.70119722233329,0.08295682610051233,0.933885869013203
