moderator_column,moderator_label,role,effect_kind,effect_estimate,effect_std_error,effect_p_value,effect_conf_low,effect_conf_high,moderator_main_estimate,moderator_main_p_value,interaction_estimate,interaction_std_error,interaction_p_value,interaction_conf_low,interaction_conf_high
profile_cont_resilience_index,Resilience Index,exploratory,moderator_main_effect,16.967522777038432,6.548556647230651,0.009568846805670363,4.132587597745989,29.802457956330876,16.967522777038432,0.009568846805670363,16.967522777038432,6.548556647230651,0.009568846805670363,4.132587597745989,29.802457956330876
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,exploratory,moderator_main_effect,13.642357683768815,7.545777887720955,0.07061493153485829,-1.1470952115029807,28.431810579040608,13.642357683768815,0.07061493153485829,13.642357683768815,7.545777887720955,0.07061493153485829,-1.1470952115029807,28.431810579040608
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,exploratory,moderator_main_effect,12.331511151616075,7.150081152109514,0.08458744739939912,-1.6823903930572275,26.34541269628938,12.331511151616075,0.08458744739939912,12.331511151616075,7.150081152109514,0.08458744739939912,-1.6823903930572275,26.34541269628938
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,exploratory,moderator_main_effect,11.549910952007682,6.970246301151033,0.09751330195899324,-2.11152076162187,25.211342665637233,11.549910952007682,0.09751330195899324,11.549910952007682,6.970246301151033,0.09751330195899324,-2.11152076162187,25.211342665637233
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,exploratory,moderator_main_effect,10.765008944738403,6.5222299425349295,0.09883856938941506,-2.018326841518805,23.54834473099561,10.765008944738403,0.09883856938941506,10.765008944738403,6.5222299425349295,0.09883856938941506,-2.018326841518805,23.54834473099561
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,exploratory,moderator_main_effect,11.680826883960131,7.282172485708038,0.10870732646617118,-2.5919689172361444,25.953622685156407,11.680826883960131,0.10870732646617118,11.680826883960131,7.282172485708038,0.10870732646617118,-2.5919689172361444,25.953622685156407
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,exploratory,moderator_main_effect,10.584189347484429,6.9020911825313735,0.12515868091763768,-2.943660788288536,24.112039483257394,10.584189347484429,0.12515868091763768,10.584189347484429,6.9020911825313735,0.12515868091763768,-2.943660788288536,24.112039483257394
profile_cat__profile_cat_sex_Other,Sex Other,exploratory,moderator_main_effect,8.041422957834731,6.188804686392291,0.19382386528018114,-4.088411334846862,20.171257250516327,8.041422957834731,0.19382386528018114,8.041422957834731,6.188804686392291,0.19382386528018114,-4.088411334846862,20.171257250516327
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,exploratory,moderator_main_effect,-9.335979385306597,7.728991602766664,0.22707923784345396,-24.48452456354177,5.812565792928572,-9.335979385306597,0.22707923784345396,-9.335979385306597,7.728991602766664,0.22707923784345396,-24.48452456354177,5.812565792928572
profile_cont_age_years,Age Years,exploratory,moderator_main_effect,6.691753992881088,5.61305397019415,0.23319183938264854,-4.309629631979007,17.693137617741183,6.691753992881088,0.23319183938264854,6.691753992881088,5.61305397019415,0.23319183938264854,-4.309629631979007,17.693137617741183
