Outcome leaf,Moderator,SEM b,SE,p
Adversarial Delta Indicator Alliance Commitment Support,Age Years,-2.175103174687381,5.214175944109408,0.676567336915828
Adversarial Delta Indicator Alliance Commitment Support,Big Five Neuroticism Mean %,1.228540707502174,3.8803653262090885,0.7515438022526582
Adversarial Delta Indicator Alliance Commitment Support,Big Five Openness To Experience Mean %,3.512136804556997,4.061262721569985,0.38715441012011365
Adversarial Delta Indicator Alliance Commitment Support,Big Five Conscientiousness Mean %,-0.5886612770060764,4.250448913209511,0.8898500846292645
Adversarial Delta Indicator Alliance Commitment Support,Sex Female,30.88320134302529,9.136085278786075,0.0007239255540012479
Adversarial Delta Indicator Alliance Commitment Support,Sex Other,12.828070319897007,10.25554948744994,0.2109921890375439
Adversarial Delta Indicator Alliance Commitment Support,Mean Baseline Abs Score,-7.818746771371593,6.027982176930284,0.19460528031579116
Adversarial Delta Indicator Alliance Commitment Support,Mean Exposure Quality Score,-5.2544537967521014,4.332047091413256,0.2251580040626877
Adversarial Delta Indicator Civil Defense Preparedness Support,Age Years,0.016130283889195362,5.6656092484338405,0.9977283842698375
Adversarial Delta Indicator Civil Defense Preparedness Support,Big Five Neuroticism Mean %,8.232740033873648,4.216319877795613,0.050868309445835536
Adversarial Delta Indicator Civil Defense Preparedness Support,Big Five Openness To Experience Mean %,-2.4695193192625,4.41287902101596,0.575741139643172
Adversarial Delta Indicator Civil Defense Preparedness Support,Big Five Conscientiousness Mean %,-3.774129664561104,4.618444588522323,0.4138219680827142
Adversarial Delta Indicator Civil Defense Preparedness Support,Sex Female,-16.899489702981818,9.92706993488529,0.0886870934300783
Adversarial Delta Indicator Civil Defense Preparedness Support,Sex Other,-12.65090622035007,11.143455197270216,0.25625935728604543
Adversarial Delta Indicator Civil Defense Preparedness Support,Mean Baseline Abs Score,7.548261169946528,6.5498732565005175,0.24914500023517339
Adversarial Delta Indicator Civil Defense Preparedness Support,Mean Exposure Quality Score,1.6079032063562648,4.707107379736486,0.7326590806511954
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Age Years,-2.398311297520837,2.6845958694072216,0.37166427032945015
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Big Five Neuroticism Mean %,-1.1124392831924568,1.9978636774427472,0.5776542379532599
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Big Five Openness To Experience Mean %,0.44967938690360465,2.0910013861771497,0.8297247794044063
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Big Five Conscientiousness Mean %,-2.048494788836942,2.1884067046912152,0.3492388124357939
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Sex Female,2.1275061061431604,4.70384909617208,0.6510597423749074
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Sex Other,-5.583037642961725,5.280221858185109,0.29035230851980875
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Mean Baseline Abs Score,-0.019411490607785766,3.1035960862290066,0.9950096509827748
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Mean Exposure Quality Score,-0.040489744455383316,2.230418737753583,0.9855164561190197
Adversarial Delta Indicator Strategic Autonomy Support,Age Years,3.7411714183117004,5.262435491400928,0.4771337199157286
Adversarial Delta Indicator Strategic Autonomy Support,Big Five Neuroticism Mean %,-0.004242381027919058,3.9162798553649596,0.9991356772788944
Adversarial Delta Indicator Strategic Autonomy Support,Big Five Openness To Experience Mean %,-1.0717764075152847,4.098851537612204,0.7937207328279077
Adversarial Delta Indicator Strategic Autonomy Support,Big Five Conscientiousness Mean %,-1.142118105683239,4.289788732681648,0.7900535254633418
Adversarial Delta Indicator Strategic Autonomy Support,Sex Female,-4.858259686198039,9.22064386374695,0.5982703822451065
Adversarial Delta Indicator Strategic Autonomy Support,Sex Other,-15.16728603948131,10.350469217968287,0.14281949821433737
Adversarial Delta Indicator Strategic Autonomy Support,Mean Baseline Abs Score,4.4248550457581235,6.083773867517296,0.46702948230537045
Adversarial Delta Indicator Strategic Autonomy Support,Mean Exposure Quality Score,-1.4055661149020968,4.372142138783749,0.7478449574569859
